symbol
AAPL
AMZN
BBIG
BRSH
BTTX
CLNV
COSM
CXAI
DNA
FFIE
GCT
HCDI
HKD
HPCO
HUSA
IMPP
IONQ
KOSS
MAIA
MARA
MMAT
MOBQ
MSFT
MULN
NVDA
PHUN
RIOT
SOFI
TOP
TSLA
TTOO
VINO
WLGS
